Date,Ticker,Close,High,Low,Volume,% Change (1d),% Change (5d),Rolling Volatility
2025-06-16 00:00:00+00:00,NVDA,144.69,146.175,143.2001,183133666,,,
2025-06-17 00:00:00+00:00,NVDA,144.12,145.22,143.78,139108000,-0.39394567696453553,,
2025-06-18 00:00:00+00:00,NVDA,145.48,145.65,143.12,161494121,0.9436580627254942,,
2025-06-20 00:00:00+00:00,NVDA,143.85,146.2,142.65,242956157,-1.1204289249381327,,
2025-06-23 00:00:00+00:00,NVDA,144.17,144.78,142.03,154308941,0.2224539450816687,,0.6451898945271831
2025-06-24 00:00:00+00:00,NVDA,147.9,147.96,145.5,187566121,2.587223416799622,2.2185361808003456,1.6861287020865392
2025-06-25 00:00:00+00:00,NVDA,154.31,154.45,149.26,269146471,4.334009465855315,7.070496808215365,4.3123972451526535
2025-06-26 00:00:00+00:00,NVDA,155.02,156.715,154.0,198145746,0.4601127600285082,6.557602419576591,5.373206677580941
2025-06-27 00:00:00+00:00,NVDA,157.75,158.71,155.255,263234539,1.7610630886337075,9.662843239485586,5.6011918374575185
2025-06-30 00:00:00+00:00,NVDA,157.99,158.66,155.96,194580316,0.15213946117274002,9.585905528195893,4.07936637236728
2025-07-01 00:00:00+00:00,NVDA,153.3,157.2,151.49,213143621,-2.968542312804612,3.6511156186612714,2.097481823521027
2025-07-02 00:00:00+00:00,NVDA,157.25,157.6,152.97,171224111,2.5766470971950284,1.9052556542025867,2.030534412414897
2025-07-03 00:00:00+00:00,NVDA,159.34,160.98,157.77,143716055,1.3290937996820462,2.786737195200617,2.2743856313301682
2025-07-07 00:00:00+00:00,NVDA,158.24,159.31,157.342,140138975,-0.6903476841973122,0.3106180665610303,2.3181307124493946
2025-07-08 00:00:00+00:00,NVDA,160.0,160.22,158.39,138133025,1.1122345803842304,1.2722324197733892,2.6365849123442167
2025-07-09 00:00:00+00:00,NVDA,162.88,164.42,161.16,183656443,1.8000000000000016,6.249184605348979,2.141336031546958
2025-07-10 00:00:00+00:00,NVDA,164.1,164.5,161.61,167704075,0.7490176817288807,4.3561208267090645,2.4738067830777326
2025-07-11 00:00:00+00:00,NVDA,164.92,167.89,163.47,193633263,0.4996953077391897,3.5019455252918164,2.82154567568939
2025-07-14 00:00:00+00:00,NVDA,164.07,165.49,162.02,136975754,-0.5154014067426549,3.6842770475227438,1.9279211602141844
2025-07-15 00:00:00+00:00,NVDA,170.7,172.4,169.195,230627350,4.040958127628458,6.687500000000002,3.086580632350597
2025-06-16 00:00:00+00:00,MSFT,479.14,480.6943,475.0,15626104,,,
2025-06-17 00:00:00+00:00,MSFT,478.04,478.7399,474.08,15414128,-0.22957799390573852,,
2025-06-18 00:00:00+00:00,MSFT,480.24,481.0,474.46,17526452,0.4602125345159358,,
2025-06-20 00:00:00+00:00,MSFT,477.4,483.46,476.87,37576206,-0.591370981176087,,
2025-06-23 00:00:00+00:00,MSFT,486.0,487.75,472.51,24863952,1.8014243820695386,,3.43745254512697
2025-06-24 00:00:00+00:00,MSFT,490.11,491.849,486.795,22305642,0.8456790123456903,2.2895187210418833,5.501601584993193
2025-06-25 00:00:00+00:00,MSFT,492.27,494.5556,489.39,17495099,0.44071738997366605,2.976738348255359,6.3280036346385895
2025-06-26 00:00:00+00:00,MSFT,497.45,498.04,492.81,21578853,1.052268064273676,3.5836248542395532,7.520985972596868
2025-06-27 00:00:00+00:00,MSFT,495.94,499.3,493.03,34539236,-0.30354809528595483,3.883535819019701,4.589240677933384
2025-06-30 00:00:00+00:00,MSFT,497.41,500.76,495.33,28368991,0.29640682340605906,2.3477366255144183,3.2938093448161636
2025-07-01 00:00:00+00:00,MSFT,492.05,498.05,490.98,19945375,-1.0775818741078802,0.39582950766154923,2.6854571305456183
2025-07-02 00:00:00+00:00,MSFT,491.09,493.5,488.7,16319641,-0.1951021237679207,-0.23970585247933274,3.019109140126998
2025-07-03 00:00:00+00:00,MSFT,498.84,500.13,493.44,13984829,1.5781221364719267,0.2794250678460175,3.369203169890226
2025-07-07 00:00:00+00:00,MSFT,497.72,498.75,495.225,13981605,-0.22452088846122153,0.35891438480462057,3.5725439115563526
2025-07-08 00:00:00+00:00,MSFT,496.62,498.2,494.11,11846586,-0.22100779554770078,-0.15882270159426337,3.478883441565462
2025-07-09 00:00:00+00:00,MSFT,503.51,506.78,499.74,18659538,1.3873786798759502,2.3290316024794144,4.466847881895955
2025-07-10 00:00:00+00:00,MSFT,501.48,504.44,497.75,16498740,-0.4031697483664609,2.1157018061862543,2.819978723323689
2025-07-11 00:00:00+00:00,MSFT,503.32,505.03,497.795,16459512,0.3669139347531214,0.8980835538449305,3.191833328981671
2025-07-14 00:00:00+00:00,MSFT,503.02,503.97,501.03,12058848,-0.0596042279265685,1.0648557421843563,2.891245406394654
2025-07-15 00:00:00+00:00,MSFT,505.82,508.3,502.79,14927202,0.5566379070414795,1.8525230558575911,1.557337471455068
2025-06-16 00:00:00+00:00,GOOGL,176.77,176.94,174.65,27389208,,,
2025-06-17 00:00:00+00:00,GOOGL,175.95,177.3648,174.58,24973043,-0.46387961758218577,,
2025-06-18 00:00:00+00:00,GOOGL,173.32,176.56,173.2,28707524,-1.4947428246660954,,
2025-06-20 00:00:00+00:00,GOOGL,166.64,174.34,165.46,75659917,-3.854142626355883,,
2025-06-23 00:00:00+00:00,GOOGL,165.19,167.34,162.0,57670985,-0.8701392222755566,,5.345468174070444
2025-06-24 00:00:00+00:00,GOOGL,166.77,168.22,166.13,40524312,0.9564743628549088,-5.657068507099616,4.753317788660871
2025-06-25 00:00:00+00:00,GOOGL,170.68,172.36,167.55,35478989,2.3445463812436174,-2.9951690821255927,3.368657002426915
2025-06-26 00:00:00+00:00,GOOGL,173.54,173.69,169.94,31796690,1.675650339817203,0.12693284098777013,3.447539702454472
2025-06-27 00:00:00+00:00,GOOGL,178.53,178.68,171.73,108140200,2.87541777111906,7.135141622659624,5.359269539778714
2025-06-30 00:00:00+00:00,GOOGL,176.23,181.23,174.58,63378856,-1.2882988853414101,6.683213269568378,4.620286787635595
2025-07-01 00:00:00+00:00,GOOGL,175.84,176.09,173.53,35904526,-0.22130170799522508,5.438628050608618,2.9777054924891724
2025-07-02 00:00:00+00:00,GOOGL,178.64,178.86,175.07,29128947,1.5923566878980777,4.6636981485821405,2.1186623138198035
2025-07-03 00:00:00+00:00,GOOGL,179.53,179.67,177.05,21689729,0.49820868786387695,3.4516537973954264,1.6222915890801888
2025-07-07 00:00:00+00:00,GOOGL,176.79,179.297,175.68,34175648,-1.526207319111017,-0.9746261132582812,1.6006967233053007
2025-07-08 00:00:00+00:00,GOOGL,174.36,177.95,172.81,40442535,-1.3745121330391852,-1.0611133178232812,2.0883414471777146
2025-07-09 00:00:00+00:00,GOOGL,176.62,179.44,172.77,43025594,1.296168846065604,0.4435850773430339,2.004487465663058
2025-07-10 00:00:00+00:00,GOOGL,177.62,178.429,174.38,29252386,0.5661872947571034,-0.5709807433945224,1.8669574178326436
2025-07-11 00:00:00+00:00,GOOGL,180.19,181.43,176.48,34282922,1.4469091318545235,0.36762658051578967,2.100673701458729
2025-07-14 00:00:00+00:00,GOOGL,181.56,183.67,179.68,32536632,0.7603085631832984,2.6981164092991783,2.8611011866063523
2025-07-15 00:00:00+00:00,GOOGL,182.0,184.22,181.6,33448251,0.24234412866270816,4.381738930947465,2.3848731622457877
2025-06-16 00:00:00+00:00,META,702.12,707.15,693.5103,13720288,,,
2025-06-17 00:00:00+00:00,META,697.23,705.97,696.06,10066110,-0.6964621432233753,,
2025-06-18 00:00:00+00:00,META,695.77,701.59,694.9,10068255,-0.2094000545013852,,
2025-06-20 00:00:00+00:00,META,682.35,701.8197,678.67,22538640,-1.9287983097862726,,
2025-06-23 00:00:00+00:00,META,698.53,699.05,678.75,11080055,2.371217117315161,,7.558829274431317
2025-06-24 00:00:00+00:00,META,712.2,713.19,702.11,13823180,1.956966773080615,1.4356520252948313,10.598772570444195
2025-06-25 00:00:00+00:00,META,708.68,716.58,705.38,9320436,-0.49424319011515117,1.6422127561923405,11.774320787204674
2025-06-26 00:00:00+00:00,META,726.09,728.22,711.05,13964793,2.456680024834923,4.357761904077506,16.305132627488845
2025-06-27 00:00:00+00:00,META,733.63,735.43,725.86,18775735,1.038438761035132,7.515204806917275,14.015142881897553
2025-06-30 00:00:00+00:00,META,738.09,747.9,734.25,15402105,0.6079358804847113,5.663321546676592,12.934762077440986
2025-07-01 00:00:00+00:00,META,719.22,737.7499,715.37,13431248,-2.556598788765596,0.9856781802864312,11.690413594052428
2025-07-02 00:00:00+00:00,META,713.57,720.3,712.8,9336740,-0.785573259920469,0.6900152396003945,10.059751487984451
2025-07-03 00:00:00+00:00,META,719.01,729.03,714.42,8601653,0.7623638886163908,-0.9750857331735752,10.551307028041863
2025-07-07 00:00:00+00:00,META,718.35,727.0,713.51,9457080,-0.09179288187924906,-2.082793778880354,9.477928043618292
2025-07-08 00:00:00+00:00,META,720.67,722.9099,714.81,7770693,0.32296234426114623,-2.3601457816797455,2.7041782485638612
2025-07-09 00:00:00+00:00,META,732.78,737.53,722.715,11417963,1.6803807567957518,1.8853758238091212,7.158699602581872
2025-07-10 00:00:00+00:00,META,727.24,735.7999,719.6,9922249,-0.7560250006823255,1.9157195509900804,6.219666389767714
2025-07-11 00:00:00+00:00,META,717.51,725.16,709.7,10873880,-1.3379352070843176,-0.2086201860892034,6.525660886071696
2025-07-14 00:00:00+00:00,META,720.92,728.0,716.547,8939399,0.47525470028291217,0.3577643210134207,6.126306391293716
2025-07-15 00:00:00+00:00,META,710.39,724.4716,709.82,11529511,-1.4606336347999793,-1.4264503864459432,8.653257768031985
2025-06-16 00:00:00+00:00,AMD,126.39,128.1393,117.78,100968478,,,
2025-06-17 00:00:00+00:00,AMD,127.1,130.7,126.58,86623910,0.5617533032676647,,
2025-06-18 00:00:00+00:00,AMD,126.79,129.21,125.77,49627112,-0.24390243902437936,,
2025-06-20 00:00:00+00:00,AMD,128.24,132.805,127.55,79930980,1.1436233141415064,,
2025-06-23 00:00:00+00:00,AMD,129.58,133.25,126.82,65152874,1.044915782907041,,1.2940440487093183
2025-06-24 00:00:00+00:00,AMD,138.43,138.79,132.93,78571997,6.8297576786541025,9.526070100482631,4.82309755240343
2025-06-25 00:00:00+00:00,AMD,143.4,144.18,139.46,74607219,3.5902622263960016,12.824547600314729,7.248245994721748
2025-06-26 00:00:00+00:00,AMD,143.68,146.0,141.91,58180081,0.19525801952580135,13.321239845413668,7.397018318214426
2025-06-27 00:00:00+00:00,AMD,143.81,147.7504,141.63,61937853,0.09047884187081134,12.141297567061748,6.132246733457453
2025-06-30 00:00:00+00:00,AMD,141.9,146.0,141.01,42972468,-1.328141297545371,9.507640067911716,2.26471410999258
2025-07-01 00:00:00+00:00,AMD,136.11,140.23,135.1202,55257237,-4.080338266384775,-1.6759372968287223,3.2603144020170043
2025-07-02 00:00:00+00:00,AMD,138.52,139.78,135.22,39227986,1.7706266989934605,-3.4030683403068362,3.382266991235249
2025-07-03 00:00:00+00:00,AMD,137.91,139.5,137.32,28645993,-0.4403696217152864,-4.015868596881966,3.130662869106098
2025-07-07 00:00:00+00:00,AMD,134.8,137.44,133.5,37395010,-2.2550939018200156,-6.2652110423475404,2.7011608615555938
2025-07-08 00:00:00+00:00,AMD,137.82,139.15,135.91,36124612,2.240356083086037,-2.8752642706131204,1.5360566395806552
2025-07-09 00:00:00+00:00,AMD,138.41,140.65,137.59,37013130,0.4280946161660193,1.6898097127323375,1.5353077867319551
2025-07-10 00:00:00+00:00,AMD,144.16,145.82,141.85,61101465,4.15432410952965,4.071614207334662,3.4085260744197905
2025-07-11 00:00:00+00:00,AMD,146.42,147.4,141.6,50049179,1.5677025527191857,6.170691030382125,4.804271016501805
2025-07-14 00:00:00+00:00,AMD,146.24,147.58,141.9,44718554,-0.12293402540635157,8.486646884272986,4.203558016728091
2025-07-15 00:00:00+00:00,AMD,155.61,158.68,153.56,93370081,6.407275711159732,12.908141053548118,6.193518386183934
2025-06-16 00:00:00+00:00,TSM,215.68,217.6,212.73,10932869,,,
2025-06-17 00:00:00+00:00,TSM,213.9,215.94,213.5,8389651,-0.8252967359050456,,
2025-06-18 00:00:00+00:00,TSM,213.5,215.1651,212.89,6931992,-0.18700327255727345,,
2025-06-20 00:00:00+00:00,TSM,209.51,215.4978,208.15,16992048,-1.8688524590164013,,
2025-06-23 00:00:00+00:00,TSM,210.32,210.59,206.2015,7535531,0.38661639062573805,,2.585115084478845
2025-06-24 00:00:00+00:00,TSM,220.09,220.365,213.88,14814705,4.645302396348416,2.0446958456973308,4.171753827828298
2025-06-25 00:00:00+00:00,TSM,222.74,223.5,220.8,9168374,1.2040528874551315,4.132772323515654,5.912678749940683
2025-06-26 00:00:00+00:00,TSM,224.01,225.22,222.6956,7982208,0.5701715004040597,4.92271662763466,6.924603237731393
2025-06-27 00:00:00+00:00,TSM,228.57,228.88,224.03,13132971,2.035623409669207,9.09741778435398,6.785582509998674
2025-06-30 00:00:00+00:00,TSM,226.49,228.15,224.8,9279803,-0.9100056875355422,7.688284518828459,3.287810821808295
2025-07-01 00:00:00+00:00,TSM,224.68,228.6,221.18,9990210,-0.7991522804538853,2.085510472988328,2.275471379736444
2025-07-02 00:00:00+00:00,TSM,233.6,233.82,224.0,12012459,3.9700907957984644,4.875639759360673,3.8569093844682856
2025-07-03 00:00:00+00:00,TSM,234.8,237.58,233.27,7779584,0.5136986301369939,4.81674925226554,4.415186292785319
2025-07-07 00:00:00+00:00,TSM,229.17,232.55,227.44,13817520,-2.3977853492334056,0.2625016406352598,4.387307830549316
2025-07-08 00:00:00+00:00,TSM,227.86,230.33,227.535,8854432,-0.5716280490465464,0.6048832178021213,4.17038607325501
2025-07-09 00:00:00+00:00,TSM,231.84,233.27,230.24,9475340,1.7466865619239824,3.1867544952821847,2.919054641489142
2025-07-10 00:00:00+00:00,TSM,229.76,233.05,227.77,13124703,-0.897170462387864,-1.6438356164383605,2.7110293248136093
2025-07-11 00:00:00+00:00,TSM,230.4,232.27,229.4001,8817763,0.278551532033422,-1.873935264054516,1.473390647452099
2025-07-14 00:00:00+00:00,TSM,228.67,229.85,226.31,10673518,-0.7508680555555647,-0.21817864467426062,1.5426859693402688
2025-07-15 00:00:00+00:00,TSM,236.95,237.71,233.85,14270133,3.6209384702846847,3.989291670323869,3.242750375838273
2025-06-16 00:00:00+00:00,AVGO,252.1,255.19,249.565,20363010,,,
2025-06-17 00:00:00+00:00,AVGO,249.37,253.96,247.92,22014312,-1.0829036096786981,,
2025-06-18 00:00:00+00:00,AVGO,251.26,255.64,249.41,30435494,0.7579099330312422,,
2025-06-20 00:00:00+00:00,AVGO,249.99,253.52,244.17,42134900,-0.5054525193027071,,
2025-06-23 00:00:00+00:00,AVGO,253.77,254.21,246.46,19747034,1.5120604824192974,,1.745242103548962
2025-06-24 00:00:00+00:00,AVGO,263.77,265.87,258.77,32764864,3.9405761122276006,4.629115430384756,5.912978944660627
2025-06-25 00:00:00+00:00,AVGO,264.65,269.87,263.43,18894163,0.3336239905978644,6.127441151702273,7.006947980397732
2025-06-26 00:00:00+00:00,AVGO,270.17,271.67,264.125,23569585,2.085773663328938,7.526068614184522,8.324253720304313
2025-06-27 00:00:00+00:00,AVGO,269.35,271.85,266.88,27477575,-0.30351260317577067,7.744309772390912,6.542837305022991
2025-06-30 00:00:00+00:00,AVGO,275.65,277.705,272.13,24708432,2.3389641730090727,8.621980533553986,4.785177112709708
2025-07-01 00:00:00+00:00,AVGO,264.74,274.5,262.6555,28847626,-3.9579176491928103,0.36774462599993285,4.5482216304838
2025-07-02 00:00:00+00:00,AVGO,269.9,272.0,262.73,17582090,1.9490821183047347,1.9837521254487012,3.874412213484887
2025-07-03 00:00:00+00:00,AVGO,275.18,275.8,270.12,10592655,1.9562801037421362,1.8543879779398198,4.533445709391592
2025-07-07 00:00:00+00:00,AVGO,274.18,277.56,272.66,16760617,-0.36339850279817343,1.7932058659736239,4.617369380935553
2025-07-08 00:00:00+00:00,AVGO,271.8,276.345,271.1545,14869407,-0.8680428915311067,-1.3966987121349361,4.13806718166841
2025-07-09 00:00:00+00:00,AVGO,277.9,279.45,272.72,20133002,2.2442972774098457,4.970914859862496,3.084982982125063
2025-07-10 00:00:00+00:00,AVGO,275.4,281.18,272.7,17891599,-0.8996041741633709,2.037791774731379,2.205475005526302
2025-07-11 00:00:00+00:00,AVGO,274.38,276.47,271.89,14274674,-0.37037037037036535,-0.2907188022385432,2.208374968161258
2025-07-14 00:00:00+00:00,AVGO,275.6,278.355,269.58,11934236,0.4446388220715969,0.5179079436866241,2.2109454991024253
2025-07-15 00:00:00+00:00,AVGO,280.94,283.36,277.8501,17918352,1.9375907111756074,3.362766740250178,2.6266099824681857
2025-06-16 00:00:00+00:00,PLTR,141.41,144.86,139.8115,80779773,,,
2025-06-17 00:00:00+00:00,PLTR,138.2,141.69,136.08,70479099,-2.2699950498550336,,
2025-06-18 00:00:00+00:00,PLTR,139.96,140.36,137.4901,58260225,1.2735166425470457,,
2025-06-20 00:00:00+00:00,PLTR,137.3,142.24,136.7418,87067039,-1.9005430122892242,,
2025-06-23 00:00:00+00:00,PLTR,139.92,142.15,135.96,70501099,1.9082301529497192,,1.6175042503808197
2025-06-24 00:00:00+00:00,PLTR,143.23,143.66,137.8,58574192,2.3656375071469338,1.2870376918181048,2.2685061163682154
2025-06-25 00:00:00+00:00,PLTR,142.9,147.67,141.53,61435267,-0.23039865949869842,3.400868306801752,2.446920513625233
2025-06-26 00:00:00+00:00,PLTR,144.25,148.215,142.91,69440544,0.9447165850244854,3.0651614747070566,2.8570001750087384
2025-06-27 00:00:00+00:00,PLTR,130.74,144.97,130.54,202598647,-9.365684575389944,-4.7778587035688265,5.532700064163973
2025-06-30 00:00:00+00:00,PLTR,136.32,138.8752,134.8,97305595,4.2680128499311465,-2.572898799313894,5.8069931978606695
2025-07-01 00:00:00+00:00,PLTR,130.68,136.32,128.51,91479688,-4.137323943661963,-8.762130838511473,6.4606981046942815
2025-07-02 00:00:00+00:00,PLTR,132.12,133.6,130.1901,59731969,1.1019283746556363,-7.543736878936325,5.750019130403003
2025-07-03 00:00:00+00:00,PLTR,134.36,135.62,132.51,41812483,1.6954283984256913,-6.856152512998259,2.450240804492658
2025-07-07 00:00:00+00:00,PLTR,139.12,139.29,132.32,71959709,3.542721047930919,6.409668043445005,3.351536960858488
2025-07-08 00:00:00+00:00,PLTR,139.71,139.855,135.79,59834823,0.42409430707304185,2.4867957746478986,4.072127208229192
2025-07-09 00:00:00+00:00,PLTR,143.13,143.17,137.39,68494760,2.447927850547549,9.527089072543603,4.411141575601505
2025-07-10 00:00:00+00:00,PLTR,142.5,145.16,139.53,64383873,-0.4401592957451239,7.856494096276112,3.4798175239514997
2025-07-11 00:00:00+00:00,PLTR,142.1,144.58,141.47,52134812,-0.2807017543859702,5.760643048526326,1.7824617807963943
2025-07-14 00:00:00+00:00,PLTR,149.15,149.575,142.22,81774443,4.961294862772703,7.209603220241512,3.5077727976594626
2025-07-15 00:00:00+00:00,PLTR,148.58,150.62,147.3601,59126190,-0.3821656050955413,6.348865507121904,3.4696354275340724
2025-06-16 00:00:00+00:00,AMZN,216.1,217.06,211.6,33284158,,,
2025-06-17 00:00:00+00:00,AMZN,214.82,217.41,214.56,32086262,-0.5923183711244784,,
2025-06-18 00:00:00+00:00,AMZN,212.52,217.96,212.34,44360509,-1.0706638115631661,,
2025-06-20 00:00:00+00:00,AMZN,209.69,214.89,208.2709,75350733,-1.3316393751176436,,
2025-06-23 00:00:00+00:00,AMZN,208.47,210.39,207.3101,37311725,-0.5818112451714486,,3.2526066469833013
2025-06-24 00:00:00+00:00,AMZN,212.77,214.34,211.045,38378757,2.0626469036312267,-1.5409532623785194,2.550201952787262
2025-06-25 00:00:00+00:00,AMZN,211.99,216.03,211.11,31755698,-0.36659303473234317,-1.3173819942277176,1.9040535706749373
2025-06-26 00:00:00+00:00,AMZN,217.12,218.035,212.01,50480814,2.41992546818246,2.164502164502169,3.339314300870758
2025-06-27 00:00:00+00:00,AMZN,223.3,223.3,216.74,119217138,2.8463522476050107,6.490533644904395,5.694159288253179
2025-06-30 00:00:00+00:00,AMZN,219.39,223.82,219.12,58887780,-1.751007613076594,5.238163764570425,4.700332966929028
2025-07-01 00:00:00+00:00,AMZN,220.46,221.875,217.93,39256830,0.4877159396508679,3.6142313296047446,4.241069440601016
2025-07-02 00:00:00+00:00,AMZN,219.92,221.6,219.06,30894178,-0.2449423931779049,3.740742487853188,2.223020467741976
2025-07-03 00:00:00+00:00,AMZN,223.41,224.01,221.36,29632353,1.5869407057111706,2.8970154753131805,1.9176887130083753
2025-07-07 00:00:00+00:00,AMZN,223.47,224.29,222.37,36604139,0.02685645226265798,0.07613076578594224,1.9630715728163628
2025-07-08 00:00:00+00:00,AMZN,219.36,224.0,218.43,45691987,-1.8391730433615194,-0.013674278681785612,1.9705151610682112
2025-07-09 00:00:00+00:00,AMZN,222.54,224.29,220.47,38155121,1.4496717724288732,0.9434818107593168,1.9620524967491733
2025-07-10 00:00:00+00:00,AMZN,222.26,222.79,219.7,30370591,-0.12582007728947353,1.0640232811931716,1.677906433624842
2025-07-11 00:00:00+00:00,AMZN,225.02,226.6799,222.37,50518307,1.2417888958877077,0.7206481357146188,2.0739816778360485
2025-07-14 00:00:00+00:00,AMZN,225.69,226.66,224.24,35702597,0.2977513109945651,0.9934219358303187,2.5160445147094634
2025-07-15 00:00:00+00:00,AMZN,226.35,227.27,225.455,34907294,0.29243652798085495,3.186542669584247,1.8632149634434148
2025-06-16 00:00:00+00:00,SMCI,43.69,44.42,42.07,33860891,,,
2025-06-17 00:00:00+00:00,SMCI,43.11,44.22,42.91,20761023,-1.327534905012584,,
2025-06-18 00:00:00+00:00,SMCI,44.47,45.67,42.79,40654629,3.1547204824866615,,
2025-06-20 00:00:00+00:00,SMCI,45.32,46.1799,44.14,51588528,1.9114009444569424,,
2025-06-23 00:00:00+00:00,SMCI,40.89,43.6,40.775,69270750,-9.774933804060016,,1.6773133279146148
2025-06-24 00:00:00+00:00,SMCI,42.84,43.15,41.055,58068381,4.7688921496698455,-1.9455252918287758,1.695709291122745
2025-06-25 00:00:00+00:00,SMCI,46.61,46.93,43.12,86439467,8.800186741363202,8.118765947575968,2.224281906593673
2025-06-26 00:00:00+00:00,SMCI,49.27,49.52,46.07,72397640,5.706929843381259,10.793793568698007,3.2589921755045634
2025-06-27 00:00:00+00:00,SMCI,47.58,49.97,46.861,53757337,-3.4300791556728383,4.986760812003532,3.466982838146152
2025-06-30 00:00:00+00:00,SMCI,49.01,50.55,48.23,49238045,3.005464480874309,19.85815602836878,2.5965303772534396
2025-07-01 00:00:00+00:00,SMCI,47.2,48.67,46.37,42243094,-3.6931238522750376,10.177404295051362,1.1575534544891957
2025-07-02 00:00:00+00:00,SMCI,48.74,48.88,47.07,27703147,3.2627118644067865,4.569834799399275,0.9150136611001267
2025-07-03 00:00:00+00:00,SMCI,48.56,49.63,48.42,18665575,-0.36930652441526934,-1.4410391719098858,0.7842321084984095
2025-07-07 00:00:00+00:00,SMCI,47.11,48.35,46.22,33006690,-2.9859967051070857,-0.9878100042034488,0.8995165368128942
2025-07-08 00:00:00+00:00,SMCI,49.11,49.255,47.36,29002561,4.245383145828918,0.2040399918384006,0.9248945885882695
2025-07-09 00:00:00+00:00,SMCI,50.02,50.2,48.37,35063577,1.8529830991651508,5.974576271186449,1.0558740455186209
2025-07-10 00:00:00+00:00,SMCI,50.36,51.7,49.68,33264404,0.6797281087564944,3.3237587197373797,1.2906083836702194
2025-07-11 00:00:00+00:00,SMCI,49.24,50.26,49.08,24861382,-2.223987291501184,1.4003294892916074,1.2639897151479733
2025-07-14 00:00:00+00:00,SMCI,49.73,50.66,48.78,25603020,0.9951259138911261,5.561451921035876,0.5239942747777382
2025-07-15 00:00:00+00:00,SMCI,53.17,54.2,51.53,62012767,6.917353710034191,8.267155365506017,1.5459075004669112
